"emp_no","last_name","first_name","sex","salary"
272976,"Hiraishi","Augustine","F",50778
440237,"Luit","Chaoyi","M",40000
290340,"Stille","Morrie","M",40000
418656,"Egerstedt","Aluzio","F",77290
470712,"Erva","Fox","F",40000
432752,"Birrer","Huai","M",57371
238234,"Murtha","Bernice","M",83027
264944,"Chimia","Ugo","M",40000
451314,"Demizu","Fuqing","M",66188
410614,"Baby","Valter","F",40000
218907,"Schade","Chikako","F",40000
450610,"Levergood","Wayne","M",40000
261707,"Gurbaxani","Chenye","F",88512
80837,"Tempesti","Nigel","F",90827
11447,"Billawala","Rasiah","M",74396
288054,"Erie","Odysseas","M",52812
405029,"Karlin","Stevo","M",56682
480134,"Basart","Magdalena","M",40000
75099,"Vandervoorde","Arunas","M",40000
441769,"Sundgren","Irena","M",93625
29239,"Rosca","Nagui","M",62649
277149,"Spinelli","Kellie","F",40000
251732,"Fortenbacher","Junsik","M",49425
202995,"Strandh","Margareta","F",71247
422949,"Stentiford","Vishv","M",40000
66872,"Itschner","Herbert","M",70549
491499,"Perz","Heather","F",57319
281244,"Vural","Marke","F",40000
45381,"McFarlan","Masaki","F",49709
415948,"Ashish","Marin","M",40000
402841,"Barinka","Dayanand","M",43370
39966,"Beidas","Utpal","F",46206
262129,"Schnabel","Moon","F",41299
445621,"Impagliazzo","Shmuel","M",78328
61030,"Seiwald","Thodoros","F",54718
270704,"Leivant","Rosella","M",49173
223242,"Pell","Leszek","M",63339
441893,"Edelhoff","Ziyad","M",55780
407081,"Swift","Heeju","F",47578
48349,"Bultermann","Toong","F",74499
448916,"Swen","Bojan","M",40000
207413,"Sommen","Syozo","M",40000
224271,"Salverda","Hideo","M",53708
94829,"Daescu","Uno","M",54262
431693,"Billingsley","Shaunak","M",73237
93207,"Pearson","Sashi","F",53896
212234,"Coombs","Ramalingam","F",54660
258454,"Parascandalo","Bezalel","F",49400
30721,"Kulisch","Dzung","F",40000
221008,"Ramalingam","Shrikanth","F",47121
464171,"Kossowski","Ravishankar","M",40000
422721,"Irland","Kannan","F",48546
65532,"Miara","Joydip","F",45800
203574,"Biron","Aleksander","F",40000
21904,"Usery","Alenka","F",40000
462007,"Smeets","Rasiah","M",40000
222376,"Pettey","Yagil","F",40732
93049,"Ananiadou","Christoper","F",45717
245630,"Vilarrasa","Fumiya","M",51924
408408,"Jiafu","Ramzi","M",42802
99806,"Cannard","Zhiwei","F",41577
445676,"Imataki","Morrie","M",68230
105757,"Ulupinar","Mary","M",40000
227022,"Zlotek","Sachin","F",51880
488141,"Hambrick","Kristen","M",69816
95239,"Stifter","Jongsuk","M",40000
249120,"Streng","Achilleas","F",57484
241222,"Bahr","Zhongwei","M",100265
452075,"Wallrath","Phuoc","M",50929
452915,"Kowalchuk","Goa","F",55703
208110,"Hashii","Abdulla","F",63659
249648,"Staelin","Sreekrishna","M",48847
217003,"Busillo","Fumiya","M",51570
478421,"Monkewich","Tiina","F",92359
209386,"Zucker","Bartek","F",40000
276185,"Chaudhuri","Taiji","M",56565
412999,"Stasinski","Xiong","M",69275
291144,"Hutter","Boriana","M",64355
417141,"Belinskaya","Mandell","M",83761
71266,"Sgarro","Krassimir","F",51474
211689,"Karner","Uli","F",40000
38211,"Colorni","Franziska","M",40000
74932,"Borovoy","Kish","M",46119
282401,"Ghemri","Maya","M",40000
260075,"Choobineh","Herb","M",40000
434080,"Pettis","Tru","F",45095
446241,"Schrooten","Oscar","M",40000
494505,"Xiaoshan","Valter","M",58337
470872,"Clouatre","Feipei","M",40000
410290,"Stille","Niteen","M",48526
39799,"Garnham","Sariel","F",40000
289521,"Sooriamurthi","Miyeon","M",67569
449690,"Kohling","Shahid","F",42901
439571,"Bazelow","Munir","M",52539
241795,"Bernardinello","Phillip","M",51789
94926,"Bresenham","Urs","M",56251
255984,"Kulisch","Stein","M",40000
210425,"Fujisawa","Percy","M",51884
469182,"Lipner","Rildo","M",41927
273024,"Lortz","Spyrose","M",52126
211191,"Zaiane","Gilbert","M",40000
420646,"Randt","Vishwani","M",40000
285303,"Kroft","Premsyl","M",44093
296483,"Ohori","Divine","F",48914
489271,"Strehl","Maia","F",40000
230268,"Murtha","Moheb","M",45728
103589,"Fujisaki","Ipke","M",80369
299441,"Billawala","Qunsheng","F",65394
109409,"Coorg","Xumin","M",61414
77989,"Conte","Kristina","M",53394
224603,"Gurbaxani","Hilary","M",66167
100805,"Dulay","Serge","M",44637
65303,"Meszaros","Aiman","M",52849
261795,"Farris","Zeljko","M",40000
95048,"Asser","Kitty","M",40000
436092,"Picht","Mihalis","F",52964
215466,"Crelier","Manohar","M",40000
269599,"Besancenot","Shai","M",55855
452648,"Shokrollahi","Xiahua","M",40000
476074,"Ballarin","Margo","F",40420
432884,"Miculan","Chaoyi","M",87823
490776,"Perna","Kokou","M",75736
226657,"Fadgyas","Subhrajyoti","M",72189
460010,"Masada","Marl","F",46545
459526,"Valette","Peer","M",40000
278801,"Bultermann","Adib","F",50491
22305,"Rosar","Weidon","F",68290
427886,"Ozeri","Sham","F",40000
65915,"Waschkowski","Ortrud","M",40000
54259,"Anily","Snehasis","F",53001
24910,"Pargaonkar","Bernardo","M",40000
435255,"Snedden","Taisook","F",40000
203597,"Lagarias","Mona","F",40000
426784,"Taubenfeld","Keung","M",58302
206682,"Heuter","Sorina","M",81781
401463,"Bernardeschi","Moriyoshi","M",57047
95609,"Chiodo","Mokhtar","F",55793
480100,"Goldhammer","Goa","M",57611
76902,"Porenta","Ramachenga","F",52167
430968,"Sgarro","Guttorm","F",70979
254823,"Streit","Serif","M",40000
241688,"Kinley","Bouchung","M",49184
238240,"Nilsson","Jianhua","M",50942
448579,"Cromarty","Gian","M",56194
241721,"Chinal","Toshiko","M",40000
423170,"Sidhu","Nidapan","F",46024
210212,"Vitiello","Jongsuk","F",40000
242706,"Isaak","Anestis","M",40000
493160,"Chinin","Tze","F",56034
23318,"Pappas","Chenxi","F",40000
415730,"Delgrossi","Gadiel","M",40000
95175,"Cyne","Marit","F",40000
461985,"Terkki","Joydip","M",49647
56169,"Zlotek","Jeanne","F",50798
495073,"Fontan","Toshimori","M",51291
91671,"Garrabrants","Hailing","M",80874
408295,"Auyong","Vugranam","M",51797
86081,"Iwayama","Valery","M",53594
299472,"Doering","Macha","F",40000
423973,"Hashii","Anneli","M",62859
32303,"Merli","Bodh","M",56708
219435,"Birnbaum","Zejun","F",59326
21857,"Kusakari","Kellyn","M",56189
58824,"Baalen","Claudi","M",40000
93824,"Mattern","Qingxiang","F",69448
252166,"Avouris","Maja","M",40000
472338,"Kusakabe","Sverrir","F",40000
487286,"Copas","Insup","F",53014
62003,"Milicic","Murthy","F",53939
435268,"Akiyama","Mingdong","M",40000
66125,"Begiun","Waiman","M",44301
216946,"Highland","Oguz","M",62664
64038,"Poulakidas","Yuriy","F",59014
226146,"Syrzycki","Shichao","M",54916
233368,"Engberts","Jacopo","M",40000
265417,"Sidje","Marin","F",61169
216540,"Lores","Tsvetan","M",40000
248503,"Lundstrom","Nikolaos","M",40000
206174,"Boguraev","Vidya","M",40000
207884,"Pettit","Teunis","M",40000
414696,"Hanabata","Oscar","F",80152
98632,"Gajiwala","Kankanahalli","M",40000
454460,"Pell","Along","M",40000
79008,"Covnot","Sachio","M",41946
212101,"Merro","Niclas","M",40000
28745,"Harbusch","Pranas","F",42343
282979,"Steinauer","Shen","M",41146
493198,"Farrar","Elliott","M",68468
92565,"Schurmann","Eldridge","M",40000
32727,"Shinomoto","Alper","F",42812
499615,"Gajiwala","Breannda","F",59703
207094,"Dusink","Pramod","F",40000
50107,"Cardazo","Pramod","M",54884
251038,"Scallan","Zeydy","M",40000
18551,"Rijsenbrij","Oguz","M",40000
247063,"Madeira","Frederique","F",57843
499346,"Terlouw","Jeane","M",45287
446883,"Ishibashi","Geoff","F",74289
422105,"Zykh","Yongdong","M",78767
14655,"Segond","Jingling","M",65742
71134,"Fiutem","Premsyl","F",76973
493569,"Salvesen","Mikhail","M",57276
244878,"Syrotiuk","Denny","F",40000
84839,"Masamoto","Ulises","F",77524
91848,"Hemaspaandra","Jamaludin","M",40000
290455,"Pokrovskii","Nectarios","F",43612
211339,"Wixon","Georgi","F",40000
11885,"Velasco","Sandeepan","M",43445
254812,"Vrecion","Ortrud","F",51143
288428,"Kushnir","Pranas","F",40000
430167,"Pluym","Supot","M",40000
82228,"Ghelli","Matk","M",101174
218813,"Salverda","Xiaoqiu","M",50720
206420,"Codenie","Mang","M",52271
426872,"Koprowski","Richard","M",59794
36697,"Solares","Bluma","F",81315
297792,"Oberman","Adas","F",79209
418937,"Mitsuhashi","Sashi","F",52052
449958,"Godskesen","Richard","M",40000
489052,"Alencar","Bilhanan","F",40000
293566,"Lukaszewicz","Shrikanth","M",40000
261093,"Goodrum","Yoshimitsu","M",75057
104876,"Zucker","Adamantios","F",61599
224417,"Hempstead","Parto","M",44625
423658,"Theuretzbacher","Persi","F",68154
200422,"Zirintsis","Shaunak","M",71185
35948,"Sifakis","Serge","F",61947
215235,"Curless","Dayanand","F",49868
261244,"Ambroszkiewicz","Bodo","M",47358
271548,"Demizu","Kiyokazu","M",78219
249230,"Danlos","Nahid","M",94001
465852,"Hanratty","Gonzalo","M",40000
406277,"Paludetto","Siamak","F",77548
292399,"Apsitis","Susanne","F",58888
31315,"Herath","Pramod","F",40000
71123,"Langford","Sigeru","M",77366
267630,"Docker","Kamakshi","M",53790
57697,"Farris","Mart","F",40500
416575,"Olano","Shai","F",65555
297761,"Narahari","Mario","F",69074
277073,"Rajaraman","Demin","M",60894
466998,"Syang","Fabrizio","M",54746
25477,"Birta","Lijia","M",48618
106620,"Pusterhofer","Sailaja","M",40000
429073,"Awdeh","Val","M",51717
269547,"Perz","Pragnesh","M",66211
279287,"Ranum","Uli","M",40000
91473,"Kuzuoka","Gadiel","M",40000
16514,"Luiz","Przemyslawa","F",43183
204833,"Skafidas","Edwin","F",53620
490958,"Matzov","Ger","F",40000
221345,"Wielonsky","Xiaobin","F",40000
454314,"Maraist","Yoshinari","M",53494
54728,"Polupanov","Xudong","M",40000
274736,"Farrag","Ziya","M",54393
203141,"Trystram","Hitomi","M",46324
207806,"Alameldin","Limsoon","F",73786
77846,"Kitsuregawa","Shooichi","F",52165
442798,"Smailagic","George","M",43835
203287,"Cronan","Yahiko","M",48152
261794,"Dulli","Mingdong","M",54564
402419,"Gurbaxani","Hiroyasu","M",80384
17548,"Fujisaki","Xuedong","M",64350
466968,"Kitai","Lene","F",42164
419189,"Minakawa","Fei","M",43811
33978,"Alpay","Maren","M",67149
250065,"Azadmanesh","Fumiko","M",65644
210670,"Ranst","Hugo","F",47805
200833,"Perl","Ottavia","M",50469
446623,"Angelopoulos","Beshir","M",73626
216283,"Capobianchi","Sorina","M",40000
217885,"Chepyzhov","Pasqua","M",70094
406849,"Leppanen","Doohun","F",40000
23810,"Fritzsche","Barry","M",40000
485639,"Lorin","Arumugam","M",40000
297723,"Rathonyi","Malu","F",40000
498034,"Boyle","Khedija","M",40000
107161,"Leuchs","Shawna","F",81085
402902,"Rodier","Aram","F",65313
84549,"Morrin","Remco","F",60868
447561,"Hedayat","Constantine","F",71063
238633,"Tomescu","Masali","M",58404
481565,"Makrucki","Hilary","M",63520
67731,"Gips","Khue","F",71105
426768,"Ranka","Marl","F",40000
263221,"Cichocki","Aruna","M",50773
32908,"Thiria","Ramzi","F",40000
478874,"Lovengreen","Toshiki","F",40000
413598,"Lunn","Boriana","F",66822
461762,"Speer","Yechiam","M",48503
489096,"Gimarc","Xiaobin","F",46877
472430,"Pellegrinelli","Lalit","F",82716
415445,"Hashii","Xiaoqiang","M",55311
464213,"Gubsky","Vitali","M",66129
268266,"Mateescu","Shir","M",51647
247991,"Madeira","Zejun","M",40000
266842,"Stifter","Houman","M",53503
39227,"Terlouw","Moss","M",40000
444692,"Heuter","Sham","M",78397
109066,"Zweizig","Margo","F",44471
217511,"Harnett","Baoqiu","F",48725
466515,"Bondorf","Shigehiro","M",40000
58534,"Jayawardene","Beshir","M",85087
89616,"Tchuente","Samphel","M",40000
261654,"Schach","Uli","F",42965
79184,"Peot","Mani","F",40000
441718,"Brodal","Muneo","F",63949
233547,"Dichev","Masali","M",97112
434940,"Demir","Gianluca","F",49432
288274,"Alblas","Selwyn","F",40000
479750,"Siochi","Bernt","M",40000
464739,"Fiutem","Chinya","M",68809
464370,"Yetim","Pranas","F",49443
271698,"Ranta","Shao","F",69194
270413,"Kirkerud","Rafael","M",70134
426593,"Fontan","Masami","F",44565
433872,"Nannarelli","Feiyu","M",63108
432538,"Matzat","Isaac","F",62840
469384,"Nivat","Shahab","F",59229
100179,"Showalter","Gennadi","F",73848
209012,"Karunanithi","Vasilii","M",40000
475777,"Cheshire","Vidar","M",44066
58957,"Luft","Feiyu","M",41351
67552,"Eiron","Serap","F",40905
401837,"Berendt","Denis","F",56472
32474,"Eterovic","Sariel","F",63082
455977,"Beidas","Sanjay","F",81801
89205,"Panangaden","Persi","M",40000
24480,"Glinert","Yucel","M",44990
476138,"Genther","Ioana","M",45460
485055,"Zyda","Cullen","F",40000
467121,"Gimarc","Irena","M",85925
44370,"Hardjono","Jaana","M",60328
93168,"Ligten","Xuedong","M",44306
478608,"Hemaspaandra","Aemilian","M",40000
218202,"Demke","Bedir","M",40000
109509,"Conte","Yurij","F",50144
228805,"Perry","Matt","F",61979
489399,"Bardell","Constantine","M",67045
484986,"Ruther","Luisa","F",40000
475631,"Shigei","Goo","M",40000
35611,"Ramsak","Khue","M",55043
232763,"Thorelli","Zijian","M",40000
48622,"Kossowski","Shahab","F",40000
229788,"Lund","Yuichiro","M",40097
415636,"Danecki","Danel","M",80721
400225,"Erev","Ekawit","M",73747
74303,"Ramaiah","Shawna","F",64210
443854,"Lung","Hilari","F",40000
494580,"Sethi","Shim","M",84159
292210,"Huhdanpaa","Masaru","M",57954
264425,"Kavanagh","Bojan","F",54846
288594,"Rabehasaina","Rildo","F",45947
60130,"Menhardt","Hiroyasu","M",40000
464056,"Denos","Cheong","M",50165
290098,"Dymetman","Youssef","F",66327
221584,"Kropp","Xuejia","M",70708
29461,"Krychniak","Shridhar","F",40000
247609,"Perko","Chinho","F",40000
85168,"Sevcikova","Maik","M",40000
296600,"Muhling","Jiann","M",59144
251885,"Pesch","Danny","M",44924
59863,"Montresor","Dannz","M",40000
265170,"Snedden","Navid","M",40000
201297,"Hennebert","Chaosheng","F",67352
448261,"Winter","Kwangjo","M",64931
64932,"Ramsay","Suvo","M",75572
84369,"Sidou","Fuqing","M",40000
21109,"Chenoweth","Lech","F",56522
263138,"Provine","Phuoc","F",48147
453811,"Shimshoni","Mountaz","F",88904
207678,"Gargeya","Claude","F",47288
200121,"Erdi","Bangqing","F",76446
407920,"Leijenhorst","Quingbo","M",43710
49891,"Luft","Mohua","M",47429
412256,"Anguita","Maria","M",45278
436872,"Babu","Eben","M",40238
469117,"Yetto","Kazunori","F",40000
454001,"Kieras","Danny","F",64351
465006,"Besselaar","Patricia","F",53279
408540,"Hebert","Danae","F",40000
461251,"Trystram","Jenwei","F",60952
104505,"Parascandalo","Maren","F",40000
49050,"Lemarechal","Feiyu","F",64592
265958,"Marchesini","Barry","F",55048
203041,"Sessa","Djelloul","M",53026
256240,"Wursthorn","Danco","F",44275
19396,"Khalil","Siamak","F",61181
50898,"Varley","Stein","M",41925
256028,"Mandell","Barna","M",40000
265201,"Walstra","Lakshmi","M",40000
226318,"Guerreiro","Woody","F",40000
35654,"Millington","Shaowei","M",55486
496552,"Castellani","Marin","F",40000
51200,"Ozeri","Gaurav","F",49313
77521,"Peot","Mari","M",53701
292390,"Schahn","Boaz","M",40000
229673,"Tomescu","Saniya","M",72847
473730,"Sudbeck","Shaowei","M",90441
13417,"Condotta","Dipayan","M",53074
98776,"Waymire","Fay","M",40000
488589,"Farrow","Dietrich","M",72321
463935,"Haldar","Izaskun","M",65203
242530,"Rahier","Chaitali","M",46166
40811,"Farrar","Reinhard","M",40000
249177,"Stille","Leen","M",40000
203948,"Barreiro","Yishay","F",48754
12124,"Schaaf","Jingling","M",50872
404242,"Zwicker","Gudjon","M",40000
10854,"Nannarelli","Jagoda","M",40000
206600,"Businaro","Karsten","M",40000
414022,"Katiyar","Byong","F",43509
98204,"Conia","Jaewon","M",47167
413987,"Cairo","Kagan","F",40000
96395,"Orsini","Adas","M",50174
487460,"Mitchem","Toong","F",47424
459034,"Kavraki","Khatoun","F",42992
493689,"Maliniak","Itzchak","M",48925
85216,"Rosiles","Ferdinand","F",50873
453313,"Dulay","Navin","M",49186
293349,"Kroft","Armond","F",71891
76089,"Kilgore","Remzi","M",68604
293627,"Szilard","Keiichiro","M",64487
30198,"Arlazarov","Saeed","M",40000
103286,"Conia","Jordanka","F",40000
400133,"Shihab","Annemarie","M",40000
428326,"Vidya","Masaru","F",45829
470020,"Anily","Otmar","M",56322
54093,"Ossenbruggen","Berni","M",41284
104238,"Desikan","Shao","F",90560
477191,"Frezza","Ronnie","M",40000
211748,"Matteis","Stafford","M",40000
37418,"Hemaspaandra","Bojan","F",46091
249771,"Eugenio","Rildo","F",40000
410427,"Smailagic","Aram","M",65532
35543,"Boudaillier","Alejandro","F",50904
436081,"Whittlesey","Jaideep","M",68780
273876,"Sethi","Naraig","F",90946
489995,"Beeson","Arumugam","M",82719
403948,"Kinley","Rosli","F",63227
445530,"Luby","Munir","M",40000
400045,"Siepmann","Chinho","M",40000
238516,"Cyre","Torsten","M",72111
30925,"Vandervoorde","Randi","F",48556
424382,"Capobianchi","Vishu","M",56089
205433,"Miara","Aria","F",90543
14356,"Zeidenstein","Remko","M",40000
268111,"Businaro","Goncalo","M",71756
456790,"Chenney","LiMin","M",72718
202978,"Solares","Valery","M",46766
66013,"Swen","Takahito","M",71938
424445,"Boreale","Jeong","M",40000
470501,"Crelier","Rutger","F",40000
44398,"Matzat","Shigehito","M",40319
448689,"Pettey","Harjit","F",58956
299374,"Litvinov","Jaana","F",54539
211245,"Cincotta","Kenroku","F",62997
67471,"Lanzelotte","Arnd","F",60428
94353,"Iivonen","Jaber","M",71614
98460,"Bage","Holgard","F",58488
270911,"Kuzuoka","Ibibia","M",66766
499375,"Swan","Huiqun","F",40000
13398,"Valette","Fuqing","M",40000
232758,"Kisuki","Jeong","F",65212
248934,"Toyoshima","Mahendra","M",55260
270115,"Papsdorf","Rosli","M",56147
243620,"Bednarek","Unal","M",43976
80932,"Pashtan","Yoshimitsu","M",51988
47147,"Brodie","Avishai","F",55923
80085,"Khalid","Lijie","M",62132
201641,"Benzaken","Yechezkel","M",40000
89182,"Minakawa","Sakthirel","F",40000
287170,"Worfolk","Hausi","M",68297
420761,"Maliniak","Anneke","F",58207
247842,"Karunanithi","Arch","M",52613
49410,"Plotkin","Magdalena","M",45191
283242,"Alpin","Gadiel","F",76649
62369,"Pietrzykowski","Geoffry","M",40000
462269,"Stassinopoulos","Pantung","F",48452
477428,"Hanratty","Qunsheng","M",40000
31239,"Veccia","Sven","M",40000
439939,"Steenbeek","Rasiah","M",52489
236406,"Kroha","Adit","M",40000
16858,"Gustavson","Akeno","M",67670
491159,"Rosin","Willard","F",46034
285527,"Leaver","Raimond","F",79242
277510,"Roccetti","Bouchung","F",48063
278823,"Besancenot","Deborah","M",57308
218900,"Glowinski","Eberhardt","M",56798
291364,"Harbusch","Nectarios","M",41349
67180,"Bakhtari","Menkae","F",47746
426156,"Toyoshima","Tommaso","F",79171
293847,"Schwartzburd","Lijia","M",40000
237165,"Azevdeo","Aamer","F",40000
97626,"Famili","Lijia","F",60307
58803,"Pleszkun","Gil","M",47783
473040,"Zwicker","Nevin","M",74794
252307,"Hagimont","Sigeru","M",70012
424552,"Schlegelmilch","Hairong","M",40000
430059,"Bardell","Yuguang","M",58850
403442,"Perri","Zita","M",40000
206083,"Hebden","Khoa","F",40000
54221,"Negoita","Youssef","M",46662
428036,"Talmon","Petter","F",85867
469938,"Stroustrup","Martial","F",46579
65211,"Hofstetter","TRUE","F",75235
74240,"Georg","Collette","M",50115
36487,"Muhlberg","Basem","M",55277
202161,"Kusalik","Takahira","M",50799
483886,"Rissland","Tokuyasu","M",56636
85546,"Pluym","Kwee","M",59166
236981,"Segond","Doowon","F",59173
96520,"Fontet","Mikhail","M",40000
258125,"Baek","Zhensheng","F",40000
473351,"Pfau","Hugo","M",40000
446885,"Grabner","Takahira","F",53315
247002,"Maliniak","Fuqing","M",40000
463707,"Lund","Elrique","M",43163
276706,"Laventhal","Uno","F",81722
498028,"Aloisi","Adas","M",76406
90761,"Copas","Lobel","M",43862
299794,"Birta","Feipei","M",51165
98760,"Asser","Kazuhiko","F",40000
263198,"Genther","Sampalli","M",66043
424420,"Parascandalo","Kaijung","M",65847
65119,"Ratzlaff","Fun","F",40965
482824,"Danlos","Mani","M",83096
38224,"Kavvadias","Ottavia","M",40000
88893,"Shanbhogue","Shaleah","M",40000
458078,"Farrag","Abdelwaheb","M",40000
201428,"Rodham","Fumiyo","M",40000
280154,"Gaughan","Munenori","M",77943
204898,"Sadowski","Mohan","M",40000
475764,"Jenevein","Breannda","M",43754
283597,"Kropp","Masali","F",40000
102672,"Bashian","Tze","M",65472
109214,"Baak","Juyoung","M",40000
30617,"Yavatkar","Mahmut","M",56811
295508,"Zizka","Giap","F",40000
97403,"Ducloy","JiYoung","M",73832
65101,"Bakhtari","Aloke","F",77501
438816,"Haldar","Shuji","F",40000
494856,"Vieri","Arunas","F",40000
217786,"Danner","Nathan","F",40000
261923,"Zaccaria","Roded","F",40000
498736,"Hofman","Yuping","F",75517
34260,"Rosar","Maia","M",58528
439027,"Riexinger","Munir","F",60754
79352,"Provine","Steen","M",40000
496107,"Shobatake","Vitaly","M",48143
108178,"Wegerle","Cathie","F",51488
446516,"Schlegelmilch","Kristin","F",40000
227248,"Zwicker","Jianhao","M",52311
208486,"Iwayama","Chenye","M",53104
96481,"Boyle","Masoud","F",40000
87434,"Heystek","Eckart","M",52925
285898,"Schade","Mihalis","M",93415
51646,"Hellwagner","Maren","M",40000
445925,"Beznosov","Sungwon","F",44476
225586,"Munke","Souichi","F",45066
489356,"Burnard","Eckart","F",41451
211634,"Engelmann","Sandeepan","M",45034
211333,"Tetzlaff","Geoffry","M",55081
458754,"Detkin","Lihong","M",40000
87409,"Buescher","Jeong","F",61769
251371,"Lorch","Jackson","M",54421
248636,"Millington","Sadok","M",40000
457010,"Anick","Elzbieta","F",50819
455684,"Herbst","Khosrow","M",40000
423743,"Nivat","Cullen","M",54028
239748,"Dusink","Bilhanan","F",69092
466107,"Kitsuregawa","Kerryn","M",40000
209889,"Kitsuregawa","Jungsoon","M",40000
495646,"Barinka","Berna","F",53251
239015,"Krichel","Shakhar","M",57104
400093,"Herber","Pranjal","M",40000
449373,"Baumann","Genevieve","F",40000
217673,"Zirintsis","Fumitake","F",70616
438043,"Terwilliger","Susanta","F",51565
413232,"Milicic","Ranan","F",59974
206662,"Radivojevic","Yucel","F",40000
280448,"Aamodt","Theron","M",87465
219878,"Peot","Mansur","M",83071
214380,"Cairo","Jaihie","F",70912
267429,"Vecchi","Arlette","M",60131
424706,"Bael","Akemi","M",55271
48497,"Ferretti","Magy","M",47799
81881,"Schmiedel","Goo","F",79797
244323,"Emmerich","Zhongwei","M",97456
268404,"Brandsma","Golgen","M",67475
215164,"Riesenhuber","Oksana","M",40000
276350,"Segond","Aris","F",40000
424893,"Chiodo","Khaled","F",40000
210312,"Montresor","Sudharsan","M",43560
78594,"Wielonsky","Moon","M",63750
105156,"Ermel","Lalit","M",46593
416903,"England","Piyawadee","M",55534
457343,"Tsunoo","Zhanqiu","F",61252
66563,"Carrere","Zhenhua","M",60488
432462,"Eiter","Quingbo","F",60384
453292,"Kornatzky","Navid","F",41017
472628,"Cooman","Arif","M",54578
258974,"Pusterhofer","Jinpo","F",65771
284361,"Parhami","Bikash","F",49947
60225,"Vandervoorde","Fayez","M",45876
58928,"Vesel","Duke","F",40000
102343,"Nannarelli","Indrajit","M",51645
49791,"Kieras","Rosalyn","M",40000
412143,"Tsukune","Hugo","M",56614
296408,"Erni","Ottavia","F",40000
267136,"Brandsma","Hauke","M",57490
225435,"Nergos","Kwangjo","M",40000
488337,"Rattan","Danel","F",40000
240268,"Iwayama","Masanao","F",40000
32314,"Honiden","Sachar","M",47043
248592,"Miyakawa","Goa","F",82710
473746,"Matteis","Tua","M",67852
415933,"Coullard","Goh","M",62931
421135,"Henders","Debatosh","F",51943
233382,"Diderrich","Bojan","M",59089
484534,"Harllee","Surveyors","M",40000
265172,"Kropatsch","Paris","M",40000
97363,"Lundstrom","Fay","M",67885
214034,"Menhoudj","Selwyn","M",63567
495575,"Kusalik","Yannis","F",42156
40177,"Fortenbacher","Wilmer","F",76588
61132,"Strooper","Maha","F",62563
99175,"Rullman","Ulf","F",68262
98244,"Leaver","Odysseas","F",40000
422687,"Hellwagner","Naraig","M",56297
272431,"Brendel","Jungsoon","M",109588
242167,"Babb","DeForest","F",57277
227484,"Bolotov","Subhrajyoti","M",40000
